Time [s], x, der(x)
0, 1, -1
0.0005, 0.9995, -0.9995
0.001, 0.999, -0.999
0.0015, 0.998501, -0.998501
0.002, 0.998002, -0.998002
0.0025, 0.997503, -0.997503
0.003, 0.997004, -0.997004
0.0035, 0.996506, -0.996506
0.004, 0.996008, -0.996008
0.0045, 0.99551, -0.99551
0.005, 0.995012, -0.995012
0.0055, 0.994515, -0.994515
0.006, 0.994018, -0.994018
0.0065, 0.993521, -0.993521
0.007, 0.993024, -0.993024
0.0075, 0.992528, -0.992528
0.008, 0.992032, -0.992032
0.0085, 0.991536, -0.991536
0.009, 0.99104, -0.99104
0.0095, 0.990545, -0.990545
0.01, 0.99005, -0.99005
0.0105, 0.989555, -0.989555
0.011, 0.98906, -0.98906
0.0115, 0.988566, -0.988566
0.012, 0.988072, -0.988072
0.0125, 0.987578, -0.987578
0.013, 0.987084, -0.987084
0.0135, 0.986591, -0.986591
0.014, 0.986098, -0.986098
0.0145, 0.985605, -0.985605
0.015, 0.985112, -0.985112
0.0155, 0.98462, -0.98462
0.016, 0.984127, -0.984127
0.0165, 0.983635, -0.983635
0.017, 0.983144, -0.983144
0.0175, 0.982652, -0.982652
0.018, 0.982161, -0.982161
0.0185, 0.98167, -0.98167
0.019, 0.981179, -0.981179
0.0195, 0.980689, -0.980689
0.02, 0.980199, -0.980199
0.0205, 0.979709, -0.979709
0.021, 0.979219, -0.979219
0.0215, 0.978729, -0.978729
0.022, 0.97824, -0.97824
0.0225, 0.977751, -0.977751
0.023, 0.977262, -0.977262
0.0235, 0.976774, -0.976774
0.024, 0.976286, -0.976286
0.0245, 0.975798, -0.975798
0.025, 0.97531, -0.97531
0.0255, 0.974822, -0.974822
0.026, 0.974335, -0.974335
0.0265, 0.973848, -0.973848
0.027, 0.973361, -0.973361
0.0275, 0.972875, -0.972875
0.028, 0.972388, -0.972388
0.0285, 0.971902, -0.971902
0.029, 0.971416, -0.971416
0.0295, 0.970931, -0.970931
0.03, 0.970446, -0.970446
0.0305, 0.96996, -0.96996
0.031, 0.969476, -0.969476
0.0315, 0.968991, -0.968991
0.032, 0.968507, -0.968507
0.0325, 0.968022, -0.968022
0.033, 0.967539, -0.967539
0.0335, 0.967055, -0.967055
0.034, 0.966572, -0.966572
0.0345, 0.966088, -0.966088
0.035, 0.965605, -0.965605
0.0355, 0.965123, -0.965123
0.036, 0.96464, -0.96464
0.0365, 0.964158, -0.964158
0.037, 0.963676, -0.963676
0.0375, 0.963194, -0.963194
0.038, 0.962713, -0.962713
0.0385, 0.962232, -0.962232
0.039, 0.961751, -0.961751
0.0395, 0.96127, -0.96127
0.04, 0.960789, -0.960789
0.0405, 0.960309, -0.960309
0.041, 0.959829, -0.959829
0.0415, 0.959349, -0.959349
0.042, 0.95887, -0.95887
0.0425, 0.95839, -0.95839
0.043, 0.957911, -0.957911
0.0435, 0.957433, -0.957433
0.044, 0.956954, -0.956954
0.0445, 0.956476, -0.956476
0.045, 0.955997, -0.955997
0.0455, 0.95552, -0.95552
0.046, 0.955042, -0.955042
0.0465, 0.954565, -0.954565
0.047, 0.954087, -0.954087
0.0475, 0.95361, -0.95361
0.048, 0.953134, -0.953134
0.0485, 0.952657, -0.952657
0.049, 0.952181, -0.952181
0.0495, 0.951705, -0.951705
0.05, 0.951229, -0.951229
0.0505, 0.950754, -0.950754
0.051, 0.950279, -0.950279
0.0515, 0.949804, -0.949804
0.052, 0.949329, -0.949329
0.0525, 0.948854, -0.948854
0.053, 0.94838, -0.94838
0.0535, 0.947906, -0.947906
0.054, 0.947432, -0.947432
0.0545, 0.946959, -0.946959
0.055, 0.946485, -0.946485
0.0555, 0.946012, -0.946012
0.056, 0.945539, -0.945539
0.0565, 0.945066, -0.945066
0.057, 0.944594, -0.944594
0.0575, 0.944122, -0.944122
0.058, 0.94365, -0.94365
0.0585, 0.943178, -0.943178
0.059, 0.942707, -0.942707
0.0595, 0.942236, -0.942236
0.06, 0.941765, -0.941765
0.0605, 0.941294, -0.941294
0.061, 0.940823, -0.940823
0.0615, 0.940353, -0.940353
0.062, 0.939883, -0.939883
0.0625, 0.939413, -0.939413
0.063, 0.938943, -0.938943
0.0635, 0.938474, -0.938474
0.064, 0.938005, -0.938005
0.0645, 0.937536, -0.937536
0.065, 0.937067, -0.937067
0.0655, 0.936599, -0.936599
0.066, 0.936131, -0.936131
0.0665, 0.935663, -0.935663
0.067, 0.935195, -0.935195
0.0675, 0.934728, -0.934728
0.068, 0.93426, -0.93426
0.0685, 0.933793, -0.933793
0.069, 0.933327, -0.933327
0.0695, 0.93286, -0.93286
0.07, 0.932394, -0.932394
0.0705, 0.931928, -0.931928
0.071, 0.931462, -0.931462
0.0715, 0.930996, -0.930996
0.072, 0.930531, -0.930531
0.0725, 0.930066, -0.930066
0.073, 0.929601, -0.929601
0.0735, 0.929136, -0.929136
0.074, 0.928672, -0.928672
0.0745, 0.928207, -0.928207
0.075, 0.927743, -0.927743
0.0755, 0.92728, -0.92728
0.076, 0.926816, -0.926816
0.0765, 0.926353, -0.926353
0.077, 0.92589, -0.92589
0.0775, 0.925427, -0.925427
0.078, 0.924964, -0.924964
0.0785, 0.924502, -0.924502
0.079, 0.92404, -0.92404
0.0795, 0.923578, -0.923578
0.08, 0.923116, -0.923116
0.0805, 0.922655, -0.922655
0.081, 0.922194, -0.922194
0.0815, 0.921733, -0.921733
0.082, 0.921272, -0.921272
0.0825, 0.920811, -0.920811
0.083, 0.920351, -0.920351
0.0835, 0.919891, -0.919891
0.084, 0.919431, -0.919431
0.0845, 0.918972, -0.918972
0.085, 0.918512, -0.918512
0.0855, 0.918053, -0.918053
0.086, 0.917594, -0.917594
0.0865, 0.917136, -0.917136
0.087, 0.916677, -0.916677
0.0875, 0.916219, -0.916219
0.088, 0.915761, -0.915761
0.0885, 0.915303, -0.915303
0.089, 0.914846, -0.914846
0.0895, 0.914388, -0.914388
0.09, 0.913931, -0.913931
0.0905, 0.913474, -0.913474
0.091, 0.913018, -0.913018
0.0915, 0.912561, -0.912561
0.092, 0.912105, -0.912105
0.0925, 0.911649, -0.911649
0.093, 0.911194, -0.911194
0.0935, 0.910738, -0.910738
0.094, 0.910283, -0.910283
0.0945, 0.909828, -0.909828
0.095, 0.909373, -0.909373
0.0955, 0.908918, -0.908918
0.096, 0.908464, -0.908464
0.0965, 0.90801, -0.90801
0.097, 0.907556, -0.907556
0.0975, 0.907102, -0.907102
0.098, 0.906649, -0.906649
0.0985, 0.906196, -0.906196
0.099, 0.905743, -0.905743
0.0995, 0.90529, -0.90529
0.1, 0.904837, -0.904837
0.1005, 0.904385, -0.904385
0.101, 0.903933, -0.903933
0.1015, 0.903481, -0.903481
0.102, 0.90303, -0.90303
0.1025, 0.902578, -0.902578
0.103, 0.902127, -0.902127
0.1035, 0.901676, -0.901676
0.104, 0.901225, -0.901225
0.1045, 0.900775, -0.900775
0.105, 0.900325, -0.900325
0.1055, 0.899874, -0.899874
0.106, 0.899425, -0.899425
0.1065, 0.898975, -0.898975
0.107, 0.898526, -0.898526
0.1075, 0.898077, -0.898077
0.108, 0.897628, -0.897628
0.1085, 0.897179, -0.897179
0.109, 0.89673, -0.89673
0.1095, 0.896282, -0.896282
0.11, 0.895834, -0.895834
0.1105, 0.895386, -0.895386
0.111, 0.894939, -0.894939
0.1115, 0.894491, -0.894491
0.112, 0.894044, -0.894044
0.1125, 0.893597, -0.893597
0.113, 0.893151, -0.893151
0.1135, 0.892704, -0.892704
0.114, 0.892258, -0.892258
0.1145, 0.891812, -0.891812
0.115, 0.891366, -0.891366
0.1155, 0.890921, -0.890921
0.116, 0.890475, -0.890475
0.1165, 0.89003, -0.89003
0.117, 0.889585, -0.889585
0.1175, 0.889141, -0.889141
0.118, 0.888696, -0.888696
0.1185, 0.888252, -0.888252
0.119, 0.887808, -0.887808
0.1195, 0.887364, -0.887364
0.12, 0.88692, -0.88692
0.1205, 0.886477, -0.886477
0.121, 0.886034, -0.886034
0.1215, 0.885591, -0.885591
0.122, 0.885148, -0.885148
0.1225, 0.884706, -0.884706
0.123, 0.884264, -0.884264
0.1235, 0.883822, -0.883822
0.124, 0.88338, -0.88338
0.1245, 0.882938, -0.882938
0.125, 0.882497, -0.882497
0.1255, 0.882056, -0.882056
0.126, 0.881615, -0.881615
0.1265, 0.881174, -0.881174
0.127, 0.880734, -0.880734
0.1275, 0.880293, -0.880293
0.128, 0.879853, -0.879853
0.1285, 0.879414, -0.879414
0.129, 0.878974, -0.878974
0.1295, 0.878535, -0.878535
0.13, 0.878095, -0.878095
0.1305, 0.877656, -0.877656
0.131, 0.877218, -0.877218
0.1315, 0.876779, -0.876779
0.132, 0.876341, -0.876341
0.1325, 0.875903, -0.875903
0.133, 0.875465, -0.875465
0.1335, 0.875027, -0.875027
0.134, 0.87459, -0.87459
0.1345, 0.874153, -0.874153
0.135, 0.873716, -0.873716
0.1355, 0.873279, -0.873279
0.136, 0.872843, -0.872843
0.1365, 0.872406, -0.872406
0.137, 0.87197, -0.87197
0.1375, 0.871534, -0.871534
0.138, 0.871099, -0.871099
0.1385, 0.870663, -0.870663
0.139, 0.870228, -0.870228
0.1395, 0.869793, -0.869793
0.14, 0.869358, -0.869358
0.1405, 0.868924, -0.868924
0.141, 0.868489, -0.868489
0.1415, 0.868055, -0.868055
0.142, 0.867621, -0.867621
0.1425, 0.867188, -0.867188
0.143, 0.866754, -0.866754
0.1435, 0.866321, -0.866321
0.144, 0.865888, -0.865888
0.1445, 0.865455, -0.865455
0.145, 0.865022, -0.865022
0.1455, 0.86459, -0.86459
0.146, 0.864158, -0.864158
0.1465, 0.863726, -0.863726
0.147, 0.863294, -0.863294
0.1475, 0.862862, -0.862862
0.148, 0.862431, -0.862431
0.1485, 0.862, -0.862
0.149, 0.861569, -0.861569
0.1495, 0.861138, -0.861138
0.15, 0.860708, -0.860708
0.1505, 0.860278, -0.860278
0.151, 0.859848, -0.859848
0.1515, 0.859418, -0.859418
0.152, 0.858988, -0.858988
0.1525, 0.858559, -0.858559
0.153, 0.85813, -0.85813
0.1535, 0.857701, -0.857701
0.154, 0.857272, -0.857272
0.1545, 0.856843, -0.856843
0.155, 0.856415, -0.856415
0.1555, 0.855987, -0.855987
0.156, 0.855559, -0.855559
